question,engaging
how do you feel in this sports stadium?,1
what type of event do you think this is from?,1
how sandwich would you choose from the sandwich shop?,1
how many people in the water fall do you see?,1
which fruit has the highest oil content?,1
have you ever visited a pumpkin patch or apple orchid?,1
what was the celebration about and did boyscouts show their newly gained skills?,1
what is in the boxes that the man is holding above his head?,1
when was the last time you has people over for drinks?,1
how many times a month do you dine out with your partner?,1
will the woman eat the snowball or throw it at the man?,1
why does the woman eat a lump of ice?,1
would you be interested in buying this house?,1
why do these photos show the rooms in the house?,1
are you a fan of pro football?,1
what is the main point to get hall of fame?,1
have you ever visited a memorial for someone you knew?,1
have you ever went to visit a national memorial site?,1
when was the last time you've attended a press conference?,1
what type of event do you think this is?,1
would you want to go to a show like this one here?,1
what are these people celebrating? do you think they are in mexico?,1
where would the men on the horses see the woman in the red dress?,1
what is with the outfits they are all wearing?,1
what instrument would you like to learn to play?,1
what did you wear for st. patrick's day and did you go to see the parade?,1
is this one day in the us when the strictures against cultural appropriation go by the wayside?,1
have you ever attended the protest before and where?,1
have you gone to see any olympic event shows?,1
why is the woman sticking out her tongue in the fifth image?,1
do you have experience in making cake on your own?,1
is skiing for a weekend birthday getaway common for people to do?,1
"who amongst the man standing above a white water river, the man riding a snowboard on white snow, and the man skiing on white snow is going to eat this brown birthday cake?",1
what do you thing about snow days?,1
how old is the man turning on his birthday?,1
is the man standing in front of a ship?,1
do you like to play the sea wave?,1
do you prefer carpet or hard wood floors?,1
how much work do you normally put into cleaning your house?,1
what animal would you like to see?,1
have you ever volunteered for anything nature related?,1
why is there less lights in the background?,1
where is the party held and how many people are invited to the party? are drinks sponsored by the party organizer?,1
"do you enjoy going to wedding, why?",1
where would you like to go have your wedding?,1
have you ever wanted to learn how to skateboard?,1
what was the name of the trophy being shown?,1
what types of settings do you like your picture taken i?,1
what would you like to watch on this tv?,1
what's a memory that makes you happy?,1
"did you used to, or do you, go to local parades in your town?",1
where is the best place to have a wedding photo shoot?,1
does your hometown have a park like this?,1
what food would you like to eat at a bar?,1
have you seen these kinds of family function?,1
who did all of the cooking for the buffet?,1
doesnt the meat on the smoker look amazing??,1
does anyone know where this buffet is located?,1
what does milk do in homemade bread?,1
what is your favorite thing to do at a family gathering?,1
why did no one come into this place?,1
is there any type of palm tree?,1
why do all people like to have normal days?,1
which food is kept on the table?,1
would you like to attend a 70s party in your hood?,1
have you ever been to a great costume party for halloween?,1
how do you feel about regarding the girl situation?,1
what city is featured in these photographs?,1
why do these people like this halloween party?,1
have you ever taken a karate class?,1
why do these people like to go on a trip to this theme park?,1
do you think it ended up raining?,1
how many years were the bride and groom together before they got married?,1
was the funtion fully enjioyment and goo?,1
"which pastery do you think is the most delicious, and why?",1
how many cake shops do you see there?,1
what do you enjoy about going to the beach?,1
how do you think the people got down to the beach from the top of the cliff?,1
do you like to go to exhibition ?,1
what is your favorite amusement park game?,1
why are those images in black and white ?,1
have you ever given money to a musician on the street?,1
which music band would you pay a fortune to see them perform?,1
what kind of music is the band playing?,1
who is taking the photos of the women in the pictures?,1
what kind of birthday cake is your favorite to have on your birthda?,1
did the boys not have any female friends to include in the celebration?,1
what do you think his birthday wish was?,1
have you been to any occasion of recent ?,1
at a table were men who laughed and served a birthday cake to a friend while everyone smile?,1
have you ever seen this bridge construction before?,1
have you seen these kinds of vintage images ?,1
why are the workers digging a massive trench?,1
what is your favorite piece of world history?,1
is that the building being constructed on the place?,1
why are those people so enjoying the night party?,1
did any of you have birthday parties like this before?,1
how many people are shown in the camera?,1
why are they so excited about photo shooting?,1
did they decide to go camping after the wedding?,1
what would you eat during a wedding?,1
do you have a close group of friends you like to be silly with?,1
how often do you cook meals in your kitchen from scratch?,1
what is your favorite thing to eat at an amusement park?,1
what age do you think these children are?,1
do you think seeing fireworks on a boat is better than on land?,1
how do you feel about the enjoyment of the celebration?,1
what fun does that girl and another have?,1
where will be your next vacation at?,1
"would you go for the sushi, the cake, or the karaoke first at this party?",1
don't you wish you had been at this awesome party?,1
why do these people like to watch this football match?,1
which game is running on the ground?,1
how often did this family get together to hike at night?,1
how do you feel about the real nature of the feelings?,1
what is the weirdest thing you've seen in a parade?,1
what do some people do on the road holding flags?,1
what is the presenter talking to the kids and adults about that people are waiting to hear?,1
why does the elderly person meet some people in the hospital?,1
have you ever ridden in a hot air balloon?,1
what is physically required to tandem sky drive?,1
what is the best menu that you have ever enjoyed much in a restaurant?,1
what types of food and drinks do you like when you go ou?,1
what kind of cloud do you see there?,1
why are some people left to fly kites?,1
have you ever had your own office at work?,1
does your office have a break room where you can unwind?,1
"have you ever volunteered in a big group activity, like cleaning a building before?",1
have you ever worked within a church?,1
what party is taking place there? how many people are there?,1
how do you feel about this conference?,1
what would be your first thing to try if you attended a barbecuing event?,1
is this some type of competition with meat and bbq pits?,1
have you been in any roasting spot before ?,1
do you recognize the city and the buildings that this barbeque event is taking place in?,1
how much would you pay to eat delicious food like this?,1
how did you learn to drive on the street in your car?,1
what is your dream car you would like to earn?,1
would you rather live in the city or commute to work?,1
what type of driving accident led to these people having to re-take driving class?,1
have you been to the office recently ?,1
have you ever feel the snow in winter?,1
what do you do when everything is snowed and ice over for fun without killing yourself?,1
have you seen these kinds of snow fall at winter season?,1
do you like to take pictures of a snow storm's aftermath?,1
what month is it and time of the day?,1
how many people enjoyed the party?,1
how do you write a birthday celebration quote?,1
what is the level of music important to the song?,1
is the man holding book in a hand?,1
why do this natural place always look so beautiful?,1
would you ever go explore a cave system?,1
what types of show do you like to go too when you have time?,1
how often do you go out to see christmas lights during the holidays?,1
do you think a band or dj is better for a live event?,1
have you learned to play the electric guitar?,1
why do these people like to join this meeting?,1
"if you were the singer, what song would you sing?",1
what would you like to do in this building?,1
how long do you think an art piece like this takes to be created?,1
was the dog waiting for the baby to wake up?,1
"did some cleaning up around the house today with the dog in tow; found an old photograph, a few stuffed toys, and my brother's favorite video game; now it's time for a soda; who wants to help me tackle the attic?",1
which movie is represented in the third image?,1
who are all of the people in that vintage photograph?,1
what do you think is my most prized possession out of all of these?,1
what company is holding this touring event for guests?,1
do you think weddings should provide transportation if the ceremony is at a different location from the venue?,1
how many people join the game?,1
why are some boys skating together in the snow?,1
how many tea shops do you see?,1
"what's your favorite part of roaming around town; a tea shop, long shallow steps, or maybe the train tracks?",1
is ther have any camera with the image on it?,1
"does your house have a porch, or does your friends'?",1
was the baby able to stay awake for its entire birthday party or did it have to take a nap during its party?,1
what was the reason for your last family gathering?,1
why are some people interviewing channel reporters?,1
what is the most exciting press conference you've ever seen?,1
have you ever seen a fire blower perform in person?,1
what is the craziest thing you ever seen at a home party?,1
what color would you like to paint your house next?,1
why does someone paint a building called a state house?,1
what city do you think this if from?,1
what was the value of the painting that was displayed in the room?,1
was the comptetion really good? did you see the high cost motor bike?,1
have you ever ridden on a motorcycle?,1
what is the best caption for smile?,1
why did these people like to visit this park?,1
what does your town parade look like?,1
what kind of parade could this be?,1
are the boys pioneering the computer?,1
do you think its important for kids to know what a library is?,1
are these all from the same pier and party?,1
how many people do you see singing the song?,1
have you ever worn a cowboy hat before?,1
"the hat is actually very nice, what material is made of?",1
which cocktail do you enjoy most when you get out with friends?,1
do you think ordering drinks at a bar is a waste of money?,1
why do these people like this moment?,1
why do firecrackers go up in the sky and explode?,1
who were the organizers of the tournament?,1
would you join this group of riders on a bike ride?,1
would you rather go down to the beach or climb those hills?,1
do you go on trips to the ocean and when was that?,1
what is the name of the beach that is near the road?,1
have you been to the best beach before ?,1
what is the name of the beautiful beach?,1
what does the sunset remind you of?,1
why are the waves likely so choppy in the fourth image?,1
does this scenario look beautiful?,1
do we think this is sunrise or sunset over the water?,1
what beach do you think is pictured here?,1
why do boys like night parties and vacation trips?,1
why does the man holding the cuplook so stand at the party?,1
why are these people so exciting?,1
why are some people on stage living musical instruments?,1
would you get out and help a turtle cross the road?,1
what type of convection do you think is going on?,1
have you ever gotten a tattoo in your body?,1
do you think teenagers should be able to get tattoos?,1
what kind of dishes will be served at this event?,1
what is your favorite food to eat at a buffet?,1
why is this party man standing alone?,1
who won the football game between the colts and the bears?,1
"are the people that are shown above at a carnival, or is it an amusment park?",1
what would you like to win in the fair?,1
when was the last time you've been to a cemetery?,1
when was the last time you visited a graveyard?,1
did the boy get the opportunity to view a wide variety of scenic attractions on the bus?,1
how many road do you see there?,1
how do you feel about this meat?,1
do you buy plates that have decorations on them?,1
what was the topic being discussed that was so passionate to talk about?,1
what was the topic of your last presentation?,1
do you like this scenario and like horses?,1
what area is this mountain and farm area at?,1
do you like to enjoy the outdoor?,1
why are couples turning their van into home?,1
have you ever experienced a tornado in person?,1
how many computers do you see here?,1
have you ever played sports on the beach?,1
what is your favorite thing to do at the beach?,1
can you think of a better thing to do with your day than this?,1
what is your favorite thing to see when visiting the beach?,1
do you like to own wooden things ?,1
would you feel at home in an art gallery?,1
who was here to attend her bat mitzvah?,1
what is your favorite memory of your parents or grandparents?,1
what kind of food is cooked and placed on the table?,1
do you have any favorite cocktails or recipes?,1
where was the last place you went hiking?,1
what are the types of mountain questions answered?,1
was this an asian restaurant that the woman celebrated her birthday at?,1
can you remember your birthday celebration which was celebrated at night?,1
which animal is shown inside the home?,1
what is the best meeting you have ever had with your friends?,1
what area of the world has all of these nice attractions to see?,1
why is the clock placed in the middle of the big building?,1
why did these people like to watch this show?,1
how many people do you see playing music?,1
what place did that person end up choosing to visit on the map?,1
"hello friends,how would you describe the cloud showing in the images i uploa?",1
what types of activies do you enjoy doing at the beac?,1
what is the cleanest beach you've ever been to?,1
do you go out for a walk in the early spring sometimes?,1
why is the golf area so clean on one side and so abandoned on the other side?,1
how many different types of plants are in you home?,1
what likely happen to the broken tree in the third image?,1
do you like to explore the outdoors or do things indoors ?,1
what is your favorite kind of birthday cake?,1
"who is the party for, and why is a man using crutches to walk around?",1
were you a good artist when you were a child?,1
do you know how to make an omelet?,1
how many people attended the opening ceremony?,1
have you ever gotten ready for the event like this?,1
which one is almost the same to one another?,1
is there any dragon made with colors?,1
do you consider fish to be a pet?,1
are you looking forward to seeing the flowers bloom the spring?,1
do you know how to play any instruments?,1
what musical performance has these people dressed up like pirates?,1
have you even attended a ruby game before?,1
why do the players look bit aggressive?,1
is rugby a sport that you would ever want to try?,1
what team do you think is winning this sport?,1
do you ever go to football games?,1
do you think these young children are excited for halloween?,1
what is the kid in the dinosaur costume doing?,1
do you like to play any sports?,1
what to say to inspire a team?,1
what is your favorite ride at an amusement park?,1
when was the last time you went to a big carnival?,1
which desert have in the table with cup?,1
what is your go-to food item you order at your favorite restaurant?,1
would you swim at a rocky beach over a sandy one?,1
do you go to the beach even when its not summer?,1
how many people do you see there?,1
why do you love the sea?,1
isn't the bride beautiful?  which man is the groom?  where were these taken?,1
did you take silly photos on your wedding day?,1
why is it important to get enough sleep quotes?,1
do you think pinatas are appropriate for kids parties?,1
do you have these kinds of office environment?,1
would this be a great office to work in? why? why not?,1
what would you like to go do in this office?,1
what industry would you like to work in for work?,1
what does a girl in that hall do?,1
why is there a red flag outside the restauran?,1
what would you like to eat at this place?,1
do you like to eat food in the hotel?,1
what is your favorite bar to visit?,1
have you ever studied the martial arts?,1
how many friends are sitting in the table together?,1
how do you comment on good cooking?,1
which food is someone cooking with onion?,1
do you think the cost of weddings is way too high ?,1
have you remembered your wedding day ?,1
why did these people like to do this thing?,1
how many people are joining the this event?,1
what do you think this structure will be?,1
have you ever toured a factory and seen how things are made?,1
how long did it take to complete that bike ride?,1
why is the man in the yellow shirt so happy?,1
do you think lakes are better than the ocean?,1
how do you feel about the to see the hills activity?,1
do you cook your own food when you have people at your house?,1
did the brewers end up winning the game?,1
what school and with what degree did you graduate from or with?,1
what place of education did these students graduate from?,1
what college do you think this event is from?,1
what would you like to learn in school?,1
how many of you have gotten a degree from college ?,1
i wonder what year christmas is in the above photos?,1
what was your christmas tree decoration theme this year?,1
what do you think the tree in the image represents?,1
how long does it take to make all arrangements for christmas?,1
do you keep your christmas decorations up past christmas?,1
what branch of the military do you thing this is from?,1
how emotional do you think this day was?,1
how do you know when you love someone?,1
if you left to join the navy or army how often would you hope to come home and visi?,1
did the baby precede the wedding proposal? do we suspect that makes it any less heartfelt?,1
does this appear to be room within an educational facility?,1
when did guys garduate comment the date and yea?,1
what was the topic was she handling?,1
about which topic the conference is happening there?,1
have you gone to any education speech and if so was it for work or school?,1
where would you get the materials to build something like they are building above?,1
what is the first school project you remember making at home?  do you remember if got a good grade or not?,1
what are some of your favorite arts and crafts memories?,1
what art would you like to own in your home?,1
have you and your wife tried and play together before ?,1
what is the objective of this group?,1
what do you think these people do for a living?,1
who created this scrapyard parody of stonehenge and what did they mean to say by making it?,1
do you like to play the car race?,1
have you prepared the cake for someone like this before?,1
how do you feel about the different snacks items?,1
what meeting is going on there? how many people attended?,1
which meetings or events have you ever attended that you were required to give a speech?,1
why did these people like to go shopping this shop?,1
is there have any colorful flag on the roof?,1
what would you want to eat after a run?,1
how many people do you see there?,1
why do some people park their cars in a row on the road?,1
what would you like to see in this race?,1
is this family considered a large family?,1
how do you feel about this enjoyments?,1
where did the above people go on vacation at?,1
why do these people go on camel carts?,1
did isabel enjoy her chocolate birthday cake?,1
have you ever had a birthday party thrown for you at work?,1
have you ever visited a shut-down amusement park?,1
what area of the nation has a swamp and a large duck boat to travel in?,1
have you ever had the chance to stage dive?,1
do you like to play musical instruments ?,1
how do you feel about this accident?,1
how do you feel the activity of accident overview?,1
how do you feel about the sea and family activity?,1
why does the beach make people happy?,1
what types of things do you like to do with your friend?,1
which is your favorite drink?,1
is it bad if someone around you is smoking?,1
"how many friends are you close enough to that you could live with them and always be together, and having drinks and taking photos with the?",1
in what city is this party taking place?,1
why was that man very enjoying the party?,1
why was that man very excited about this picture?,1
what is this breathtaking artwork taking from?,1
why does this girl explain for this nature house?,1
do you think pizza should be served at a fancy event?,1
what would you like to drink in a bar?,1
what is more cold in this place than the blizzard?,1
what is the location of that garden?,1
have you ever chaperoned at a school function?,1
i wonder what type of event is being shown in the pictures above?,1
what do all of the statues above mean to the people who live there?,1
do you like looking at statues from other countries?,1
dors this car body look like it held together well after the front end accident?,1
is there have any house with full covered with ice?,1
do you like going to hockey games?,1
what do you think about ice skating?,1
what sport would you like to see in this arena?,1
what was the event happening at the stadium?,1
have you remembered this place and enjoyment?,1
have you had fun at the beach lately ?,1
what games would you like to play at the beach?,1
are the people playing tug of war in the sea shore?,1
do you enjoy this kind of place with your family?,1
who would you want on your team in a tug of war?,1
what would you wear in this big parade?,1
have you ever participated like this protest?,1
where and what was the parade you last attended?,1
do you know the wearing mask in your face?,1
how much do you enjoy street music festivals and events?,1
what would you like to do in this city?,1
what are the 3 types of guide signs?,1
how many dogs have in the yard?,1
why did you rescue the dogs and animals?,1
what ypes of parks do you enjoy going to?,1
where in the world is the mountainside in the background of those pics?,1
what company did these office friends work at?,1
do you like celebrating events with your family?,1
do you think mascots are an important part of a sports team?,1
what are the two teams that were playing in this match?,1
have you ever been in a car accident?,1
why were these people involved in this accident?,1
does santa visit these two brothers every christmas?,1
how many gifts do you see there?,1
do you know the meaning behind the murals that you saw on the buildings?,1
what town was the people walking around in?,1
why is the sky not blue as seen from space?,1
in what team's baseball stadium would you like to attend a game?,1
what are your feelings towards the boat ride on the lake?,1
how do you get a beach body caption?,1
which picture from above do you guys love the mos?,1
how often do you go on a vacation? and how much are you willing to spend to travel to an island?,1
where is your favorite place to go on vacation?,1
why do some people are photograph other?,1
what would you like to graduate in?,1
how old did the birthday celebrant turn?,1
who wouldn't enjoy a fun evening like this?,1
what kind of radiators do you have in your home?,1
why do these people like to go to this place?,1
what is the saying about looking in the mirror?,1
were these photos from their first day of school?,1
do you think companies make money when advertising at competitions?,1
what we can take about in a loosing cause?,1
where is that boy playing? where are you going?,1
what did you do the last time you went to the beach?,1
how many fishes do you see there?,1
what was the most interesting conference you've attended?,1
have you ever scuba dived under the water?,1
what ocean is all this trash located in?,1
have you been to any ocean before ?,1
what do you think we should do about the pollution of our oceans?,1
where did all of those tires come from?,1
is there any kind of food on the plate?,1
why were people invited to the dinner party?,1
why do these people always like music?,1
what is the outermost part of a flower called?,1
why do these people like to join this event?,1
why do these people like to join this political event?,1
has anyone ever ridden a bike down the steps and into the water?,1
what is written on the board in the place?,1
is there have any bridge in the river side?,1
have you ever traveled to new york city?,1
why are the stones stacked on top of the mountain?,1
would you camp on top of this mountain?,1
what is the creepiest costume you've ever seen in a halloween parade?,1
check out this costume party. do you like costume parties?,1
what kind of scene was being presented?,1
why have some stores used posters?,1
what would you wear to go to this beach?,1
the tourist are allowed to see much as theyh enter the historical castle. but one must ask what language are the people on the beach speaking?,1
would you like to live in a castle?,1
have you ever seen a real castle?,1
would you ever live in a european castle?,1
what was the last parade in which you were a spectator?,1
what trick will the skateboarder do next?,1
why did the weather change to cold all of a sudden?,1
have you ever participated in a marathon before?,1
have you heard about these type of meeting in your life?,1
how do you feel about the army officer activity?,1
why did these people like these days?,1
do you mind it when your pet jumps on the couch with you?,1
where do you think that the house featured in the photograph is located?,1
wouldn't this beach area be the perfect place to enjoy a relaxing evening as the sun sets over the ocean?,1
do you prefer to eat with family at home or out at a restaurant?,1
what are these men eating on the plate?,1
what's the maximum capacity of your dining room table?,1
do you get events that you throw catered or do you make all the food?,1
do you like trying upscale and fancy food?,1
why did all these people eat these things?,1
what would you like to drink in this place?,1
is there any asian language that you can speak or read?,1
what was the theme of this meeting and why only the ladies got to make crafts?,1
what do you think they were celebrating after the business meeting?,1
is that photo of a python or is it a bridge in the forest?,1
have you ever seen a real life 'gator?,1
what would you like to do in this event?,1
what country is this family at where they can burn pinatas outside?,1
does anyone want to share your wedding party?,1
who is your favorite actor that you have seen performing on stage?,1
which was your longest trip you went for a house party with friends?,1
what do you say at a get-together party?,1
what should be included in a catering quote?,1
do you like to go on tours when you visit a new area?,1
are they with the body of the deceased?,1
why did people have very sad faces?,1
why is the rope tied over the black dog?,1
what would you do if you were stuck inside this bedroom while it rained?,1
which mind of musical instrument have in the function?,1
how about going to church and praying to god for a while?,1
do you enjoy a walk in the snowy woods?,1
how many miles did the soldiers have to hike this day?,1
do you have a tradition for easter like decorating eggs?,1
what traditions do you and your family have around the easter holiday?,1
do you prefer ferris wheels or roller coasters?,1
what type of motion is giant wheel?,1
where is this town and what season is it?,1
who can recommend a historic town to visit with lots of history?,1
what would you like to do in this town?,1
why do you think we stopped by this little town?,1
who can tell me what the oldest building is in their town?,1
which vintage car have you always wanted to own?,1
what is your dream car you want to own?,1
how can the people like to stay the in this hotel?,1
is the puffer fish alive and what tropical beach are you located on?,1
what should you consider when buying a house?,1
what is the little girl doing near the farm that contains animals?,1
are the kids in the classroom singing as well as dancing?,1
do you have a favorite teacher from high school?,1
"why are these people running, and is it for a cause?",1
have you ever participated in a marathon?,1
i wonder what type of event is taking place in the photos above?,1
what would you like your kid to do here?,1
how do you feel the above picture of full of happiness?,1
how do you feel about this party?,1
how old is the water fountain that is in the picture?,1
do you think water fountains waste water?,1
how do you feel the above activity of photoshoot?,1
do you like to make over in different cartoon characters ?,1
do you like to go to fancy places to eat dinner or would you rather something more casual?,1
can you guess the place which was in the image?,1
are you interested to go there to shop?,1
have you been to this mall and know where it is located?,1
what type of event is being hosted at the bar?,1
how long was the line that you had to wait in for the rides?,1
what amusement park are all of these guests lined up to enter?,1
how many people participated in the photo shoot?,1
what would you like to do in your wedding?,1
do you think glasses should be free?,1
why do people like to join this party?,1
how much all are the people like their parents?,1
why do these babies always look so cute?,1
is there any rock or hill in the sea side?,1
do you play in the sea wave?,1
do you like to enjoy with the wedding function?,1
how many people attend this wedding event?,1
what is the reason for the night's firework show?,1
have you ever shot off fireworks before?,1
why did these people like this days?,1
have you ever had the opportunity to go to japan?,1
where is the lady? what are they doing in the park?,1
what was the name of the fake battle going on?,1
would you prefer an outdoor or indoor concert?,1
would you ever drive a hummer vehicle?,1
why are pictures pasted on the wall?,1
"what connects these relatively unrelated objects together in any way, shape, or form?",1
did your entire family attend your graduation?,1
why were people in the audience wearing the same hat?,1
how many types of running are there in athletics?,1
what are good questions to ask athletes?,1
is the pictures are very old model equipments displayed?,1
why is there a two-wheeler tied up in front of a big vehicle?,1
"when faced with a large beach with shallow waves, would you be carrying sand, building castles, or taking pictures of the scenery?",1
why is someone building a sand castle on the beach?,1
why did no one come in to this place?,1
why did no one come in to this places?,1
have you ever traveled to the asian continent?,1
have you ever visited the place like this?,1
why do some members of the family drink alcohol together?,1
how much did the tickets cost to attend this gala event?,1
what is the name of these ruins and where are they located?,1
what questions should i ask a new church member?,1
why did these people like this carnival?,1
what would you ask at an art exhibition?,1
have you ever enjoyed in places like this before?,1
have you ever been to california or the west coast?,1
do you own your house and what are the things that you look at in a house?,1
have you ever lived in a house with a basement like this?,1
why is the crowd gathered to see the flames?,1
what do you like to eat at a fair?,1
where is the location of the prison island?,1
have you ever gone on a tour of alcatraz?,1
"if you were in alcatraz back in the day, how would you escape?",1
"where would you go first when visiting alcatraz; walk the halls, stay in a cell, or just look at it from afar?",1
have you been to anywhere of recent ?,1
have you ever attended a car race?,1
do you like this scenario in car race?,1
what are you and your family celebrating?,1
what's the oldest age any relative of yours has lived to?,1
have you ever been to a hockey game and who is your favorite team?,1
do you know to see the boxing stadium?,1
why do these people like to attend the comics event?,1
how creative can you get with a collage?,1
why are some items hung on a dry tree?,1
why do you like to go on this place?,1
where is a place you'd like to go with your partner?,1
"were they going out of town on the train, or was it a local trip?",1
what do you think a successful photoshoot requires?,1
why do they put makeup on a woman sitting in front of a mirror?,1
what is the man in the stage doing with some paper?,1
is the man holding a paper with his hand?,1
why do these people like to attend this family party?,1
where would you like to have your wedding at?,1
why do these places look so weird?,1
"historical parks and memorials are like a siren to me but sometimes they may not reflect my opinions, does it bother you when you see controversial memorials?",1
do you feel obligated to bring expensive gifts to baby showers?,1
when was the last time you went to a party?,1
do you think kids should be able to hold sparklers?,1
why do some people sit on the road holding flags?,1
what other food was being shown that smelled so great?,1
do you consider yourself to be social?,1
how often do you go out to eat with friends?,1
why do these people like to attend the night time party?,1
have you ever participated in a cosplay before?,1
why do these people like to join this festival?,1
what does a woman with a small camera do?,1
are these some pictures taken with women and road places?,1
what was the last american city you visited?,1
what city do you think they are visiting?,1
"i would ask: do you ever go hiking? if so, what is your favorite place to hike?",1
do you like hiking when on vacation to explore new places?,1
do you prefer events that have assigned seating or would you rather pick your seat?,1
what would you like to do in this event?,1
what type of event do you think this is going o?,1
what is the celebration and fireworks about is it 4 july or something else we are celebratin?,1
"one thing that has not become rare is the official meetings to explain corporate or government initiatives, do you think that this could be done more effectively?",1
what kind of event do you think this is?,1
do you think weddings on the beach are nice?,1
are the photos in the sequence above being taken by a professional photographor?,1
what is the man’s computer presentation about?,1
"we used to hate seminars together, now the complaints are of the tedious zoom get togethers, which would you prefe?",1
have you ever participated in a marathon before?,1
have you ever visited a family member's race?,1
"what's the best part of a wedding, the food or the ceremony?",1
what kind of event are they having here and why is it important?,1
have you been to any occasion lately ?,1
how long did it take everyone to get ready?,1
did you wear heels in your wedding?,1
did all the students enjoy and listen to the classes?,1
"are you missing your childhood , comment your favourite childhood memory?",1
can you share your class room studying experience in a school days?,1
are the students working on a craft?,1
what would you like to do in school?,1
how long do you think most people could float in the dead sea?,1
can someone tell me where this beach is at?,1
what only a lady does in the water?,1
do you think it got named the dead sea because you float in it like a dead person?,1
"i know you can float in the water, but do you know the secret to float on top of it?",1
how do you answer graduate interview questions?,1
how many people are joined in the function?,1
why did all people get graduation in their life?,1
do you think attending graduation is important for young adults?,1
is there any man speaking in the mike?,1
have your ever visited and experienced this type of meeting?,1
how many people do you see playing music?,1
which street event has ever captivated you out there?,1
do you know any local musician in a band?,1
have you ever helped prepare for a musical performance?,1
how many people do you see there?,1
were you ever a flower girl or ring boy when you were little?,1
what kind of food can you cook?,1
how much of the eastern culture  do you feel you can identify with?,1
how many hotels do you see there?,1
have you ever been to a place with colleagues or friends to have food together or just for a tour? how memorable was it?,1
what amusement park were these photos taken at?,1
what fun place is housing all of these cool looking amusement park rides?,1
what is your favorite ride to go on at the amusement park?,1
what types of rides do you like to go too when at a carnival?,1
do you enjoy the thrill of an amusement park?,1
would you move to europe if given the opportunity?,1
how interested would you be in visiting italy?  how long would you stay for your travels if you decided to travel there?,1
would the roofing of the homes suggest that snow is not a problem in this area? why? why not?,1
have you ever seen this type of houses and taken photos like this before?,1
what would you like to go see in this town?,1
will worship services be interrupted with noise when a fairground goes up next door?,1
why does no one come to this theme park?,1
why did people like to join this festival?,1
what does the sound of drums represent?,1
do you like to enjoy boating ?,1
have you ever enjoyed with places like this before and where?,1
where the people in a car accident injured at all?,1
did the driver get badly injured while driving this vehicle?,1
how do you feel about this nature?,1
why are there so many boats on the shores of the sea?,1
what is this precious baby doing in the grass?,1
are you a mother or a father yet?,1
why are some people lying in the shade of a tree with their baby?,1
what kind of food was being served?,1
why was the plane flying over the ocean before it landed?,1
"did the pilot head back to the runway, because he ran out of fuel?",1
what would you like to go see in this place?,1
how do you feel about this nature?,1
what is doing the woman with black coat by sitting?,1
"do you ever go to parties anymore, or is that something people grow out of?",1
do you think theres an age where you are too old to dress up for halloween?,1
what types of dress up parties have you ever attended?,1
have you ever seen or attend this type of party?,1
does the woman in the blue wig appear to be happy at this event?,1
how do you spend your next halloween?,1
what dishes do you like in the usa?,1
where are those towers and the lake in the usa?,1
what good food is available at this fast food restaurant ?,1
do you think pop up carnivals have rides that are safe?,1
why does this place look so beautiful at every time?,1
how do you feel about the cute dolls?,1
why do these places have no one to come to?,1
how much water do you need to cook rice?,1
what would you like to do in this gym?,1
do you enjoying playing basketball for exercise?,1
how do you feel about the waste papers?,1
how do you write a questions paper before an exam?,1
what would you like to have a protest about?,1
do you feel comfortable in tight crowds outdoors?,1
why is there a timer watch on top of the finish line board?,1
how long have you ever cycled a bicycle while doing your practices?,1
what would you like to hear this band play?,1
would you call the cops if your neighbors were too rowdy?,1
how many cars do you see there?,1
are also the guys on bicyles in the race with those on speed bikes ore are they on their ow?,1
what are they cooking in the pot?,1
"after cooking the ground beef, when do you add the vegetables, such as the corn and diced tomatoes, to mix as a soup?",1
what would you like to do in this town?,1
who likes this time of lockdown?,1
what would you like to see in this village?,1
do you like to have to ride with the boat?,1
"have you ever visited the ""big apple""?",1
why is chocolate bad for my dog?,1
is that the night view looking nice and lighting?,1
would you rather live in the city or country?,1
have you ever lived the life like this when you where childwood?,1
how do you feel about going on a trip to amusement park with kids and enjoy?,1
have you ever gone to flower park?,1
how do you write a caption for food?,1
what animal is there in the forest?,1
how many member's are in the white cow boat?,1
"i was in a race like ths sponsored by coors beer out west, have you ever seen the same if so, where exactly?",1
why did these people like to play?,1
why do these children like to play this game?,1
what was the reason fireworks were deployed this day?,1
do you set off your own fireworks?,1
why were these places always so costly?,1
have you ever taken a trip to las vegas?,1
how many times a year do you attend a fair?,1
why do all these people like to go on this vacation trip?,1
do you like to roam in a car?,1
what is your favorite vintage car of any decade?,1
when is your favorite time of day to create?,1
do you like to dress up as scary characters?,1
"which color and hand would you use when painting; blue on your left hand or grey on your right, or both?",1
why are they painting their hands like that?,1
is that garden nearby? what is there?,1
why are these people really happy to their life?,1
why does that dog lonely sleep in the bed?,1
why do some people drink alcohol together?,1
have you ever had a family dinner on a deck?,1
what kind of foods are there? who are they?,1
why did these people like those people?,1
would you love to eat this delicious five course meal along with a bottle of wine?,1
did you go to amusement parks as a child and what were your favorite rides?,1
do you think pop up roller coasters are safe?,1
do you have any plans to go camping this summer?,1
how many groups stayed in the tents overnight at the outing?,1
have you ever volunteered at any party or concert?,1
why do these people like to attend this yoga class?,1
i wonder what beautiful city is being shown in the photos above?,1
would you rather look up at the stars or the lights of the city?,1
do you prefer daytime or night-time activities in the city?,1
what is the light color in the last picture?,1
